"date","source","leads_generated"
"2024-10-28",Toll Free,91
"2024-10-25",Chatbot,2
"2024-10-02",Online Sales,257
"2024-01-03",Toll Free,128
"2024-01-26",Online Sales,304
"2024-01-10",Website,75
"2024-05-04",Facebook,2
"2024-03-26",Toyota Offer,1006
"2024-11-15",Test Drive,23
"2024-08-29",Yalla Motor,68
"2024-04-27",Motory,79
"2024-09-21",Motory,37
"2024-06-22",Chatbot,4
"2024-06-30",Website,148
"2024-12-18",Motory,49
"2024-11-20",Chatbot,5
"2024-09-10",Website,185
"2024-08-14",Chatbot,4
"2024-12-10",Social Media - Campaign,98
"2024-05-08",Website,112
"2024-09-30",Twitter,16
"2024-11-14",Toyota Offer,88
"2024-12-26",Website,133
"2024-08-03",Social Media - Campaign,149
"2024-04-26",Online Sales,339
"2024-04-01",Toll Free,111
"2024-04-26",Toyota Offer,20
"2024-01-26",Website,69
"2024-10-09",Twitter,7
"2024-08-31",Twitter,34
"2024-09-09",Online Sales,496
"2024-04-25",Chatbot,1
"2024-11-22",Facebook,1
"2024-10-01",Chatbot,3
"2024-03-31",Toyota Offer,1396
"2024-02-11",Toll Free,157
"2024-06-22",Test Drive,40
"2024-01-28",Twitter,8
"2024-11-06",Chatbot,2
"2024-07-14",Online Sales,410
"2024-05-15",Facebook,1
"2024-06-18",Mobile Applications-TSS,1
"2024-03-02",Mobile Applications-TSS,1
"2024-05-20",Twitter,25
"2024-08-13",Instagram,1
"2024-06-23",Website,102
"2024-12-15",Website,114
"2024-10-01",Toyota Offer,1
"2024-07-15",Online Sales,397
"2024-06-03",Online Sales,377
"2024-09-04",Toll Free,188
"2024-02-24",Toyota Offer,36
"2024-12-13",Online Sales,127
"2024-12-08",Social Media - Campaign,138
"2024-01-07",Motory,92
"2024-04-14",Website,95
"2024-12-07",Twitter,2
"2024-05-31",Website,87
"2024-10-01",Instagram,1
"2024-12-31",Twitter,1
"2024-12-29",Motory Campaign,11
"2024-12-22",Toyota Offer,2
"2024-05-18",Online Sales,466
"2024-01-29",Website,86
"2024-03-18",Website,159
"2024-10-25",Twitter,10
"2024-02-01",Motory,59
"2024-01-29",Motory,67
"2024-09-08",Events,2
"2024-07-12",Website,60
"2024-10-12",Social Media - Campaign,80
"2024-09-08",Website,225
"2024-12-10",Motory,44
"2024-08-23",Yalla Motor,7
"2024-01-28",Toll Free,154
"2024-07-28",Website,76
"2024-12-11",Toyota Offer,5
"2024-11-26",Twitter,6
"2024-06-08",Events,1
"2024-01-02",Chatbot,4
"2024-10-14",Toll Free,70
"2024-09-12",Toll Free,81
"2024-02-18",Website,131
"2024-06-04",Twitter,9
"2024-02-10",Facebook,1
"2024-08-16",Motory,46
"2024-08-11",Motory Campaign,30
"2024-04-27",Website,115
"2024-02-13",Motory,93
"2024-11-01",Online Sales,242
"2024-06-28",Online Sales,291
"2024-02-21",Online Sales,353
"2024-12-28",Social Media - Campaign,163
"2024-01-24",Toyota Offer,25
"2024-12-09",Motory Campaign,100
"2024-01-05",Social Media - Campaign,1
"2024-01-09",Chatbot,3
"2024-05-13",Test Drive,26
"2024-12-15",Toyota Offer,2
"2024-03-01",Toll Free,39
"2024-09-11",Toll Free,110
"2024-06-28",Chatbot,1
"2024-08-30",Online Sales,498
"2024-02-26",Toyota Offer,359
"2024-10-14",Chatbot,3
"2024-12-07",Motory Campaign,6
"2024-10-30",Twitter,16
"2024-01-13",Website,104
"2024-08-11",Toyota Offer,57
"2024-08-20",Twitter,41
"2024-06-07",Twitter,8
"2024-05-24",Motory,63
"2024-08-03",Motory,99
"2024-12-24",Toll Free,60
"2024-07-19",Toll Free,28
"2024-01-21",Toll Free,142
"2024-09-15",Social Media - Campaign,20
"2024-07-24",Website,99
"2024-08-24",Yalla Motor,21
"2024-08-27",Events,2
"2024-02-09",Online Sales,204
"2024-10-14",Website,124
"2024-11-19",Motory,49
"2024-05-10",Toll Free,2
"2024-05-19",Website,94
